"sfGFP_Sens_molecules","mCherry_Sens_molecules","genotype"
24.34,78.83,"22A3_wild_type"
65.89,35.47,"22A3_wild_type"
50,52.94,"22A3_wild_type"
39.76,63.72,"22A3_wild_type"
58.35,44.88,"22A3_wild_type"
40.25,64.2,"22A3_wild_type"
63.21,40.81,"22A3_wild_type"
60.72,43.85,"22A3_wild_type"
28.95,77.57,"22A3_wild_type"
46.74,59.68,"22A3_wild_type"
11.21,97.16,"22A3_wild_type"
49.66,57.12,"22A3_wild_type"
39.27,68.7,"22A3_wild_type"
65.98,41.17,"22A3_wild_type"
47.82,60.48,"22A3_wild_type"
56.36,52.99,"22A3_wild_type"
41.89,68.21,"22A3_wild_type"
50.2,59.56,"22A3_wild_type"
34.12,77.6,"22A3_wild_type"
46,65.5,"22A3_wild_type"
57.98,53.2,"22A3_wild_type"
60.15,51.24,"22A3_wild_type"
12.59,102.47,"22A3_wild_type"
41.54,72.71,"22A3_wild_type"
64.17,49.47,"22A3_wild_type"
9.76,107.67,"22A3_wild_type"
73.47,41.23,"22A3_wild_type"
16.4,101.33,"22A3_wild_type"
59.65,56.27,"22A3_wild_type"
64.1,52.79,"22A3_wild_type"
77.89,38.7,"22A3_wild_type"
45.78,72.42,"22A3_wild_type"
79.14,37.76,"22A3_wild_type"
62.58,55.3,"22A3_wild_type"
67.14,50.58,"22A3_wild_type"
52.29,66.28,"22A3_wild_type"
83.7,34.56,"22A3_wild_type"
52.82,67.03,"22A3_wild_type"
85.46,33.43,"22A3_wild_type"
64.55,55.53,"22A3_wild_type"
57.1,63.87,"22A3_wild_type"
66.22,55.03,"22A3_wild_type"
37.52,85.8,"22A3_wild_type"
43.86,79.79,"22A3_wild_type"
37.2,86.97,"22A3_wild_type"
70.17,53.52,"22A3_wild_type"
67.89,56.14,"22A3_wild_type"
88.73,34.89,"22A3_wild_type"
68.86,56.35,"22A3_wild_type"
82.84,44.73,"22A3_wild_type"
82.97,45.25,"22A3_wild_type"
66.39,62.63,"22A3_wild_type"
47.37,83.05,"22A3_wild_type"
31.18,100.46,"22A3_wild_type"
52.39,78.59,"22A3_wild_type"
72.86,57.73,"22A3_wild_type"
17.88,116.86,"22A3_wild_type"
55.37,77.76,"22A3_wild_type"
77.05,56.44,"22A3_wild_type"
42.36,92.75,"22A3_wild_type"
47.86,87.49,"22A3_wild_type"
65.44,69.56,"22A3_wild_type"
86.83,48.77,"22A3_wild_type"
46.65,91.17,"22A3_wild_type"
40.52,97.75,"22A3_wild_type"
65.29,72.59,"22A3_wild_type"
76.36,61.2,"22A3_wild_type"
38.22,102.15,"22A3_wild_type"
8.49,133.87,"22A3_wild_type"
64.98,74.94,"22A3_wild_type"
36.16,106.4,"22A3_wild_type"
22.22,121.12,"22A3_wild_type"
22.61,121.52,"22A3_wild_type"
61.49,81.11,"22A3_wild_type"
52.39,90.63,"22A3_wild_type"
16.88,127.85,"22A3_wild_type"
90.53,51.68,"22A3_wild_type"
77.14,65.88,"22A3_wild_type"
55.61,91.29,"22A3_wild_type"
61.84,84.95,"22A3_wild_type"
81.49,64.49,"22A3_wild_type"
68.05,78.66,"22A3_wild_type"
46.47,101.64,"22A3_wild_type"
56.15,91.88,"22A3_wild_type"
88.21,61.81,"22A3_wild_type"
97.41,52.41,"22A3_wild_type"
34.39,118.4,"22A3_wild_type"
56.1,98.24,"22A3_wild_type"
80.01,73.45,"22A3_wild_type"
80.83,72.67,"22A3_wild_type"
35.18,120.56,"22A3_wild_type"
102.9,50.81,"22A3_wild_type"
96.67,58,"22A3_wild_type"
109.11,45.22,"22A3_wild_type"
51.4,106.02,"22A3_wild_type"
50.63,107,"22A3_wild_type"
77.53,79.22,"22A3_wild_type"
66.49,91.62,"22A3_wild_type"
37.54,124.06,"22A3_wild_type"
81.23,78.45,"22A3_wild_type"
73.48,87.88,"22A3_wild_type"
85.32,75.99,"22A3_wild_type"
32.75,131.22,"22A3_wild_type"
53.88,109.32,"22A3_wild_type"
118.3,42.9,"22A3_wild_type"
113.65,48.14,"22A3_wild_type"
67.72,96.72,"22A3_wild_type"
90.25,73.39,"22A3_wild_type"
52.84,112.78,"22A3_wild_type"
89.04,75.23,"22A3_wild_type"
74.46,91.46,"22A3_wild_type"
105.3,60.2,"22A3_wild_type"
67.37,99.98,"22A3_wild_type"
32.84,137.12,"22A3_wild_type"
103.99,63.49,"22A3_wild_type"
119.01,47.82,"22A3_wild_type"
60.08,110.07,"22A3_wild_type"
52.46,118.3,"22A3_wild_type"
62.48,107.85,"22A3_wild_type"
100.48,68.19,"22A3_wild_type"
80.32,89.25,"22A3_wild_type"
49.53,121.94,"22A3_wild_type"
74.92,95.55,"22A3_wild_type"
79.58,91.35,"22A3_wild_type"
72.93,98.57,"22A3_wild_type"
64.16,109.13,"22A3_wild_type"
77.83,95.08,"22A3_wild_type"
73.04,100.36,"22A3_wild_type"
88.92,84.53,"22A3_wild_type"
39.95,135.89,"22A3_wild_type"
50.93,125.4,"22A3_wild_type"
54.52,122.28,"22A3_wild_type"
109.44,65.94,"22A3_wild_type"
69.28,108.09,"22A3_wild_type"
100.47,75.65,"22A3_wild_type"
55.69,122.68,"22A3_wild_type"
132.79,42.77,"22A3_wild_type"
73.23,105.47,"22A3_wild_type"
137.81,38.92,"22A3_wild_type"
66.59,113.7,"22A3_wild_type"
83.32,96.45,"22A3_wild_type"
66.21,114.47,"22A3_wild_type"
105.88,73.83,"22A3_wild_type"
124.99,54.48,"22A3_wild_type"
79.67,103.16,"22A3_wild_type"
111.75,70.64,"22A3_wild_type"
80.03,104.17,"22A3_wild_type"
56.19,129.08,"22A3_wild_type"
103.17,80.98,"22A3_wild_type"
136.36,47.26,"22A3_wild_type"
63.54,123.47,"22A3_wild_type"
78.65,108.4,"22A3_wild_type"
108.38,77.74,"22A3_wild_type"
64.03,125.29,"22A3_wild_type"
100.79,88.41,"22A3_wild_type"
91.18,98.57,"22A3_wild_type"
93.61,96.09,"22A3_wild_type"
115.98,72.95,"22A3_wild_type"
119.76,69.63,"22A3_wild_type"
68.65,123.51,"22A3_wild_type"
60.61,132.11,"22A3_wild_type"
135.26,54.46,"22A3_wild_type"
44.65,149.45,"22A3_wild_type"
53.63,140.72,"22A3_wild_type"
72.17,121.41,"22A3_wild_type"
134.8,58.81,"22A3_wild_type"
83.79,113.24,"22A3_wild_type"
149.9,44.35,"22A3_wild_type"
94.54,102.83,"22A3_wild_type"
63.1,136.51,"22A3_wild_type"
135.15,62.07,"22A3_wild_type"
126.71,71.56,"22A3_wild_type"
48.23,154.67,"22A3_wild_type"
121.17,79.07,"22A3_wild_type"
66.37,137.55,"22A3_wild_type"
86.75,118.41,"22A3_wild_type"
110.91,93.48,"22A3_wild_type"
63.37,143.17,"22A3_wild_type"
103.37,101.44,"22A3_wild_type"
106.18,99.55,"22A3_wild_type"
46.23,163.29,"22A3_wild_type"
76.26,132.15,"22A3_wild_type"
157.07,48.26,"22A3_wild_type"
113.87,94.07,"22A3_wild_type"
15.24,197.66,"22A3_wild_type"
119.47,88.94,"22A3_wild_type"
79.65,130.79,"22A3_wild_type"
66.06,146.35,"22A3_wild_type"
46.69,166.92,"22A3_wild_type"
43.7,170.47,"22A3_wild_type"
96.61,115.26,"22A3_wild_type"
70.46,142.8,"22A3_wild_type"
125.02,85.82,"22A3_wild_type"
114.07,97.42,"22A3_wild_type"
92.24,120.27,"22A3_wild_type"
95.98,117.74,"22A3_wild_type"
102.97,111.27,"22A3_wild_type"
44.8,172.14,"22A3_wild_type"
158.1,54.04,"22A3_wild_type"
54.04,164.22,"22A3_wild_type"
120.94,94.67,"22A3_wild_type"
133.73,82.85,"22A3_wild_type"
98.28,120.9,"22A3_wild_type"
143.66,73.62,"22A3_wild_type"
136.38,81.99,"22A3_wild_type"
98.58,124.57,"22A3_wild_type"
127.19,95.18,"22A3_wild_type"
127.44,94.98,"22A3_wild_type"
102.9,122.2,"22A3_wild_type"
83.78,143.47,"22A3_wild_type"
88.17,139.09,"22A3_wild_type"
98.48,128.38,"22A3_wild_type"
130.52,95.65,"22A3_wild_type"
89.62,138.64,"22A3_wild_type"
72.92,156.79,"22A3_wild_type"
84.26,145.76,"22A3_wild_type"
104.58,124.55,"22A3_wild_type"
88.9,141.4,"22A3_wild_type"
103.47,126.63,"22A3_wild_type"
66.81,164.99,"22A3_wild_type"
83.7,147.66,"22A3_wild_type"
73.42,159.43,"22A3_wild_type"
108.12,123.44,"22A3_wild_type"
108.41,123.74,"22A3_wild_type"
65.26,169.11,"22A3_wild_type"
97.38,136.81,"22A3_wild_type"
104.98,128.93,"22A3_wild_type"
1.18,237.39,"22A3_wild_type"
86.55,148.6,"22A3_wild_type"
73.01,163.1,"22A3_wild_type"
94.91,141.06,"22A3_wild_type"
118.32,116.82,"22A3_wild_type"
71.41,165.82,"22A3_wild_type"
136.69,98.42,"22A3_wild_type"
93.29,143.79,"22A3_wild_type"
153.73,80.82,"22A3_wild_type"
104.2,133.88,"22A3_wild_type"
128.74,109.19,"22A3_wild_type"
180.84,54.97,"22A3_wild_type"
72.13,168.54,"22A3_wild_type"
158.97,79.17,"22A3_wild_type"
106.9,133.67,"22A3_wild_type"
109.12,133.19,"22A3_wild_type"
139.81,108.73,"22A3_wild_type"
119.45,130.61,"22A3_wild_type"
178.89,69.79,"22A3_wild_type"
126.48,124.65,"22A3_wild_type"
138.47,112.46,"22A3_wild_type"
93.89,159.14,"22A3_wild_type"
69.5,186.07,"22A3_wild_type"
112.03,143.84,"22A3_wild_type"
94.47,162.43,"22A3_wild_type"
97.19,159.79,"22A3_wild_type"
74.61,183.55,"22A3_wild_type"
143.75,111.53,"22A3_wild_type"
88.11,170.35,"22A3_wild_type"
113.39,144.7,"22A3_wild_type"
114.74,144.52,"22A3_wild_type"
98.52,163.43,"22A3_wild_type"
127.64,133.08,"22A3_wild_type"
149.6,111.98,"22A3_wild_type"
100.44,164.58,"22A3_wild_type"
128.61,135.77,"22A3_wild_type"
105.25,160.66,"22A3_wild_type"
111.32,155.38,"22A3_wild_type"
165.78,98.58,"22A3_wild_type"
135.62,131.27,"22A3_wild_type"
136.14,131.89,"22A3_wild_type"
106.93,162.8,"22A3_wild_type"
116.67,152.99,"22A3_wild_type"
93.7,176.99,"22A3_wild_type"
150.73,118.44,"22A3_wild_type"
112.23,159.31,"22A3_wild_type"
83.35,189.83,"22A3_wild_type"
124.55,147.91,"22A3_wild_type"
149.76,123.28,"22A3_wild_type"
141.06,132.87,"22A3_wild_type"
145.47,128.81,"22A3_wild_type"
117.01,158.95,"22A3_wild_type"
128.85,146.95,"22A3_wild_type"
95.51,181.84,"22A3_wild_type"
157.31,118.96,"22A3_wild_type"
151.46,125.57,"22A3_wild_type"
55.89,226.47,"22A3_wild_type"
123.12,156.33,"22A3_wild_type"
193.02,83.54,"22A3_wild_type"
151.98,126.44,"22A3_wild_type"
149.52,129.39,"22A3_wild_type"
179.81,98.31,"22A3_wild_type"
149.67,131.43,"22A3_wild_type"
128.57,154.06,"22A3_wild_type"
152.3,132.88,"22A3_wild_type"
121.97,165.18,"22A3_wild_type"
153.47,133.44,"22A3_wild_type"
147.84,139.44,"22A3_wild_type"
104.36,185.63,"22A3_wild_type"
105.73,184.65,"22A3_wild_type"
98.72,192.4,"22A3_wild_type"
154.26,135.59,"22A3_wild_type"
130.4,160.52,"22A3_wild_type"
122.6,169.52,"22A3_wild_type"
82.08,212.11,"22A3_wild_type"
106.88,186.48,"22A3_wild_type"
165.04,126.48,"22A3_wild_type"
120.98,174.26,"22A3_wild_type"
182.71,111.86,"22A3_wild_type"
158.46,137.37,"22A3_wild_type"
104.44,193.86,"22A3_wild_type"
147,150.11,"22A3_wild_type"
131.48,166.52,"22A3_wild_type"
176.67,119.79,"22A3_wild_type"
114.37,185.56,"22A3_wild_type"
181.61,115.52,"22A3_wild_type"
158.25,141.68,"22A3_wild_type"
126.35,175.61,"22A3_wild_type"
101.72,202.71,"22A3_wild_type"
141.68,162.71,"22A3_wild_type"
243.53,56.49,"22A3_wild_type"
125.59,179.77,"22A3_wild_type"
174.25,130.51,"22A3_wild_type"
199.97,104.97,"22A3_wild_type"
103.09,207.02,"22A3_wild_type"
163,145.55,"22A3_wild_type"
136.53,173.22,"22A3_wild_type"
152.78,156.35,"22A3_wild_type"
139.3,170.53,"22A3_wild_type"
121.88,189.19,"22A3_wild_type"
126.32,184.7,"22A3_wild_type"
143.94,168.88,"22A3_wild_type"
89.77,227.45,"22A3_wild_type"
109.51,207.74,"22A3_wild_type"
129.74,186.7,"22A3_wild_type"
169.67,147.91,"22A3_wild_type"
90.8,230.81,"22A3_wild_type"
102.82,219.87,"22A3_wild_type"
134.76,186.67,"22A3_wild_type"
201.55,117.66,"22A3_wild_type"
136.54,186.61,"22A3_wild_type"
229.96,90.57,"22A3_wild_type"
191.26,131.01,"22A3_wild_type"
84.51,243.21,"22A3_wild_type"
141.78,183.58,"22A3_wild_type"
211.3,111.09,"22A3_wild_type"
168.57,155.76,"22A3_wild_type"
195.67,127.75,"22A3_wild_type"
120.51,208.87,"22A3_wild_type"
166.76,160.69,"22A3_wild_type"
106.51,224,"22A3_wild_type"
145.19,183.86,"22A3_wild_type"
170.15,159.09,"22A3_wild_type"
163.54,166.8,"22A3_wild_type"
166.82,164,"22A3_wild_type"
195.95,133.67,"22A3_wild_type"
218.84,110.07,"22A3_wild_type"
114.85,219.43,"22A3_wild_type"
214.61,116.24,"22A3_wild_type"
223.54,107.05,"22A3_wild_type"
174.43,158.43,"22A3_wild_type"
117.54,218.39,"22A3_wild_type"
188.25,145.19,"22A3_wild_type"
125.94,210.32,"22A3_wild_type"
178.29,156.18,"22A3_wild_type"
145.18,191.45,"22A3_wild_type"
143.78,193.18,"22A3_wild_type"
137.58,199.85,"22A3_wild_type"
141.5,196.12,"22A3_wild_type"
131.69,210.1,"22A3_wild_type"
171.27,170.42,"22A3_wild_type"
157.9,185.55,"22A3_wild_type"
138.23,208.77,"22A3_wild_type"
185.07,161.03,"22A3_wild_type"
157.7,191.24,"22A3_wild_type"
163.78,185.27,"22A3_wild_type"
191.55,156.77,"22A3_wild_type"
143.31,207.66,"22A3_wild_type"
266.66,79.16,"22A3_wild_type"
191.87,157.43,"22A3_wild_type"
144.52,208.53,"22A3_wild_type"
211.13,141.52,"22A3_wild_type"
162.3,192.75,"22A3_wild_type"
202.3,151.51,"22A3_wild_type"
172.13,186.58,"22A3_wild_type"
197.59,161.29,"22A3_wild_type"
203.84,154.91,"22A3_wild_type"
163.81,197.78,"22A3_wild_type"
229.12,130.49,"22A3_wild_type"
180.57,186.66,"22A3_wild_type"
148.19,220.84,"22A3_wild_type"
233.04,133.11,"22A3_wild_type"
145.56,224.5,"22A3_wild_type"
245.39,120.72,"22A3_wild_type"
205.23,162.75,"22A3_wild_type"
146.29,224.55,"22A3_wild_type"
140.95,232.8,"22A3_wild_type"
178.26,194.02,"22A3_wild_type"
213.4,159.2,"22A3_wild_type"
233.95,137.83,"22A3_wild_type"
206.07,168.86,"22A3_wild_type"
216.96,158.06,"22A3_wild_type"
204.5,171.62,"22A3_wild_type"
227.65,148.06,"22A3_wild_type"
211.89,164.72,"22A3_wild_type"
224.91,152.99,"22A3_wild_type"
194.39,188.92,"22A3_wild_type"
179.61,204.51,"22A3_wild_type"
289.38,90.19,"22A3_wild_type"
249.26,132.58,"22A3_wild_type"
192.24,192.77,"22A3_wild_type"
103.15,286.43,"22A3_wild_type"
147.95,239.67,"22A3_wild_type"
160.4,229.18,"22A3_wild_type"
114.79,277.9,"22A3_wild_type"
283.74,101.72,"22A3_wild_type"
141.39,250.6,"22A3_wild_type"
146.18,249.66,"22A3_wild_type"
230.83,161.66,"22A3_wild_type"
152.71,243.74,"22A3_wild_type"
232.98,162.75,"22A3_wild_type"
133.25,267.19,"22A3_wild_type"
190.7,209.5,"22A3_wild_type"
195.13,204.89,"22A3_wild_type"
179.99,221.99,"22A3_wild_type"
258.88,140.35,"22A3_wild_type"
116.88,290.14,"22A3_wild_type"
136.02,273.46,"22A3_wild_type"
257.02,147.17,"22A3_wild_type"
181.15,228.17,"22A3_wild_type"
281.11,124.06,"22A3_wild_type"
206.97,202.43,"22A3_wild_type"
272.48,137.96,"22A3_wild_type"
215.22,197.83,"22A3_wild_type"
198.06,216.45,"22A3_wild_type"
246.73,165.66,"22A3_wild_type"
161.71,255.21,"22A3_wild_type"
168.11,248.78,"22A3_wild_type"
153.36,265.52,"22A3_wild_type"
300.13,113.74,"22A3_wild_type"
260.75,156.24,"22A3_wild_type"
132.08,290.69,"22A3_wild_type"
300.2,116.1,"22A3_wild_type"
257.19,161.12,"22A3_wild_type"
209.6,210.92,"22A3_wild_type"
163.91,260.37,"22A3_wild_type"
168.13,259.07,"22A3_wild_type"
273.43,150.59,"22A3_wild_type"
198.35,230.54,"22A3_wild_type"
295.15,130.47,"22A3_wild_type"
165.78,267.1,"22A3_wild_type"
186.11,246.22,"22A3_wild_type"
153.87,279.97,"22A3_wild_type"
160,274.49,"22A3_wild_type"
329.46,98.48,"22A3_wild_type"
210.95,222.7,"22A3_wild_type"
237.57,198.17,"22A3_wild_type"
229.14,210.22,"22A3_wild_type"
216.28,225.14,"22A3_wild_type"
315.93,123.52,"22A3_wild_type"
175.17,271.06,"22A3_wild_type"
250.35,195.85,"22A3_wild_type"
269.1,179.89,"22A3_wild_type"
186.83,269.94,"22A3_wild_type"
210.28,248.27,"22A3_wild_type"
191.67,268.19,"22A3_wild_type"
255.36,201.68,"22A3_wild_type"
288.68,167.42,"22A3_wild_type"
271.85,186.62,"22A3_wild_type"
157.51,308.29,"22A3_wild_type"
308.49,150.67,"22A3_wild_type"
374.87,85.36,"22A3_wild_type"
283.4,182.63,"22A3_wild_type"
190.94,279.46,"22A3_wild_type"
218.54,251.66,"22A3_wild_type"
339.37,129.14,"22A3_wild_type"
303.11,167.79,"22A3_wild_type"
315.4,158.09,"22A3_wild_type"
324.81,148.96,"22A3_wild_type"
178.53,302.43,"22A3_wild_type"
224.88,255.32,"22A3_wild_type"
309.94,167.2,"22A3_wild_type"
159.36,325.57,"22A3_wild_type"
240.64,241.34,"22A3_wild_type"
146.72,339.52,"22A3_wild_type"
225.91,261.23,"22A3_wild_type"
255.05,231.03,"22A3_wild_type"
177.72,312.12,"22A3_wild_type"
235.16,253.9,"22A3_wild_type"
172.96,319.12,"22A3_wild_type"
234.02,255.9,"22A3_wild_type"
322.38,164.5,"22A3_wild_type"
304.59,183.11,"22A3_wild_type"
235.56,255.83,"22A3_wild_type"
268.58,221.74,"22A3_wild_type"
264.84,228.9,"22A3_wild_type"
225.11,272.33,"22A3_wild_type"
262.94,234.29,"22A3_wild_type"
343.82,150.61,"22A3_wild_type"
245.35,254.14,"22A3_wild_type"
137.73,368.54,"22A3_wild_type"
242.21,260.9,"22A3_wild_type"
275.47,226.35,"22A3_wild_type"
199.53,306.09,"22A3_wild_type"
338.68,161.95,"22A3_wild_type"
214.31,292.1,"22A3_wild_type"
331.46,171.38,"22A3_wild_type"
204,305.07,"22A3_wild_type"
313.68,191.16,"22A3_wild_type"
195.49,314.8,"22A3_wild_type"
239.22,270.59,"22A3_wild_type"
281.99,227.46,"22A3_wild_type"
243.53,267.7,"22A3_wild_type"
284.84,224.95,"22A3_wild_type"
229.82,283.61,"22A3_wild_type"
267.21,245.64,"22A3_wild_type"
224.96,291.31,"22A3_wild_type"
280.78,234.51,"22A3_wild_type"
263.64,252.69,"22A3_wild_type"
333.86,181.48,"22A3_wild_type"
395.32,117.7,"22A3_wild_type"
68.36,462.48,"22A3_wild_type"
289.44,231.96,"22A3_wild_type"
298.03,223.85,"22A3_wild_type"
236.09,289.1,"22A3_wild_type"
337.14,186.83,"22A3_wild_type"
223.02,307.64,"22A3_wild_type"
216.83,315.39,"22A3_wild_type"
264.73,265.51,"22A3_wild_type"
244.42,287.48,"22A3_wild_type"
296.72,232.91,"22A3_wild_type"
173.37,363.59,"22A3_wild_type"
293.69,240,"22A3_wild_type"
186.86,352.75,"22A3_wild_type"
229.4,308.87,"22A3_wild_type"
201.97,341.24,"22A3_wild_type"
345.83,193.54,"22A3_wild_type"
232.43,314.32,"22A3_wild_type"
272.92,272.09,"22A3_wild_type"
301.58,244.93,"22A3_wild_type"
182.63,369.49,"22A3_wild_type"
245.35,310.97,"22A3_wild_type"
218.99,339.76,"22A3_wild_type"
238.18,319.72,"22A3_wild_type"
376.93,178.74,"22A3_wild_type"
327,240.5,"22A3_wild_type"
305.28,264.67,"22A3_wild_type"
273.35,300.95,"22A3_wild_type"
304.08,271.16,"22A3_wild_type"
249.09,329.91,"22A3_wild_type"
320.69,257.21,"22A3_wild_type"
231.13,353.68,"22A3_wild_type"
249.22,336.79,"22A3_wild_type"
320.77,263.93,"22A3_wild_type"
327.37,257.9,"22A3_wild_type"
318.53,268.85,"22A3_wild_type"
237.47,356.59,"22A3_wild_type"
366.24,222.57,"22A3_wild_type"
266.44,332.13,"22A3_wild_type"
395.14,198.3,"22A3_wild_type"
453.45,139.68,"22A3_wild_type"
263.9,339.72,"22A3_wild_type"
361.48,239.82,"22A3_wild_type"
312.86,297.04,"22A3_wild_type"
237.37,377.54,"22A3_wild_type"
325.33,286.21,"22A3_wild_type"
243.62,372.01,"22A3_wild_type"
328.95,284.24,"22A3_wild_type"
269.88,346.63,"22A3_wild_type"
439.84,177.73,"22A3_wild_type"
311.73,317.35,"22A3_wild_type"
388.34,239.36,"22A3_wild_type"
365.94,269.27,"22A3_wild_type"
262.95,377.16,"22A3_wild_type"
300.19,344.6,"22A3_wild_type"
348.46,297.47,"22A3_wild_type"
290.33,359.42,"22A3_wild_type"
382.57,265.45,"22A3_wild_type"
296.27,356.45,"22A3_wild_type"
286.01,368.56,"22A3_wild_type"
337.18,315.31,"22A3_wild_type"
297.43,358.6,"22A3_wild_type"
383.75,268.76,"22A3_wild_type"
285.64,372.03,"22A3_wild_type"
360.01,295.79,"22A3_wild_type"
324.03,338.42,"22A3_wild_type"
284.19,386.2,"22A3_wild_type"
326.83,343.53,"22A3_wild_type"
404.52,262.42,"22A3_wild_type"
294.19,391.82,"22A3_wild_type"
329.72,358.3,"22A3_wild_type"
309.09,380.37,"22A3_wild_type"
391.04,297.1,"22A3_wild_type"
369.48,320.68,"22A3_wild_type"
399.64,290.91,"22A3_wild_type"
406.91,285.16,"22A3_wild_type"
332.28,366.38,"22A3_wild_type"
494.92,196.52,"22A3_wild_type"
332.02,368.02,"22A3_wild_type"
418.1,280.3,"22A3_wild_type"
392.09,308.25,"22A3_wild_type"
391.79,309.23,"22A3_wild_type"
488.05,209.74,"22A3_wild_type"
437.09,265.75,"22A3_wild_type"
409.07,298.67,"22A3_wild_type"
470.1,242.27,"22A3_wild_type"
401.95,313.49,"22A3_wild_type"
313.98,405.77,"22A3_wild_type"
384.12,338.52,"22A3_wild_type"
349.23,376.68,"22A3_wild_type"
306.03,422.59,"22A3_wild_type"
409.82,316.24,"22A3_wild_type"
362.5,372.85,"22A3_wild_type"
326.53,410.87,"22A3_wild_type"
406.89,327.71,"22A3_wild_type"
456.43,280.09,"22A3_wild_type"
475.28,266.77,"22A3_wild_type"
334.83,416.91,"22A3_wild_type"
547.79,204.32,"22A3_wild_type"
448.96,310.58,"22A3_wild_type"
492.82,268.35,"22A3_wild_type"
446.26,321.09,"22A3_wild_type"
378.42,400.71,"22A3_wild_type"
423.58,361.58,"22A3_wild_type"
355.66,436.68,"22A3_wild_type"
540.6,247.91,"22A3_wild_type"
467.03,329.24,"22A3_wild_type"
387.91,420.78,"22A3_wild_type"
383.3,433.97,"22A3_wild_type"
580.87,228.42,"22A3_wild_type"
329.53,491.03,"22A3_wild_type"
373.89,450.27,"22A3_wild_type"
446.58,375.86,"22A3_wild_type"
304.59,530.98,"22A3_wild_type"
327.73,512.21,"22A3_wild_type"
504.32,328.24,"22A3_wild_type"
461.35,373.46,"22A3_wild_type"
524.94,307.58,"22A3_wild_type"
454.92,381.44,"22A3_wild_type"
470.71,369.93,"22A3_wild_type"
537.33,308.52,"22A3_wild_type"
394.6,462.36,"22A3_wild_type"
474.68,381.03,"22A3_wild_type"
420.52,440.79,"22A3_wild_type"
578.36,276.84,"22A3_wild_type"
441.57,421.85,"22A3_wild_type"
372.02,496.82,"22A3_wild_type"
613.01,250.59,"22A3_wild_type"
504.81,367.2,"22A3_wild_type"
594.3,279.77,"22A3_wild_type"
464.09,419.61,"22A3_wild_type"
476.33,408.31,"22A3_wild_type"
