"sfGFP_Sens_molecules","mCherry_Sens_molecules","genotype"
3.28,35.8,"22A3_wild_type"
5.54,33.98,"22A3_wild_type"
0.24,43.31,"22A3_wild_type"
9.48,35.02,"22A3_wild_type"
7.14,43.09,"22A3_wild_type"
7.77,42.71,"22A3_wild_type"
14.19,39.29,"22A3_wild_type"
7.27,46.57,"22A3_wild_type"
16.82,39.43,"22A3_wild_type"
3.81,53.62,"22A3_wild_type"
18.38,39.28,"22A3_wild_type"
16.13,41.81,"22A3_wild_type"
13.63,44.84,"22A3_wild_type"
5.22,56.63,"22A3_wild_type"
22.02,39.12,"22A3_wild_type"
21.84,40.67,"22A3_wild_type"
21.49,41.14,"22A3_wild_type"
23.92,40.05,"22A3_wild_type"
24.68,39.38,"22A3_wild_type"
26.43,39.13,"22A3_wild_type"
26.6,40.47,"22A3_wild_type"
25.48,43.02,"22A3_wild_type"
9,61.01,"22A3_wild_type"
28.49,41.1,"22A3_wild_type"
12.83,57.58,"22A3_wild_type"
33.65,35.93,"22A3_wild_type"
13.36,57.44,"22A3_wild_type"
11.07,60.24,"22A3_wild_type"
30.4,42.09,"22A3_wild_type"
12.63,61.78,"22A3_wild_type"
20.55,53.9,"22A3_wild_type"
39.44,34.28,"22A3_wild_type"
18.26,58.24,"22A3_wild_type"
35.79,40.26,"22A3_wild_type"
8.22,70.24,"22A3_wild_type"
39.57,37.69,"22A3_wild_type"
6.21,72.82,"22A3_wild_type"
26.21,52.08,"22A3_wild_type"
25.44,53,"22A3_wild_type"
25.65,53.26,"22A3_wild_type"
35.35,43.91,"22A3_wild_type"
20.89,60.36,"22A3_wild_type"
28.38,52.66,"22A3_wild_type"
31.29,49.69,"22A3_wild_type"
30.21,51.26,"22A3_wild_type"
21.13,62.75,"22A3_wild_type"
38.05,46.16,"22A3_wild_type"
19.12,66.57,"22A3_wild_type"
48.37,36.34,"22A3_wild_type"
23.45,62.72,"22A3_wild_type"
16.84,70.05,"22A3_wild_type"
45.37,40.63,"22A3_wild_type"
38.33,48.17,"22A3_wild_type"
29.74,57.16,"22A3_wild_type"
33.52,53.73,"22A3_wild_type"
49.66,38.55,"22A3_wild_type"
14.37,75.52,"22A3_wild_type"
48.97,39.84,"22A3_wild_type"
33.35,56.65,"22A3_wild_type"
36.17,54.24,"22A3_wild_type"
7.58,84.23,"22A3_wild_type"
16.4,75.97,"22A3_wild_type"
19.14,73.33,"22A3_wild_type"
41.61,49.92,"22A3_wild_type"
13.89,79.29,"22A3_wild_type"
30.03,63.32,"22A3_wild_type"
38.32,55.53,"22A3_wild_type"
34.84,59.21,"22A3_wild_type"
53.79,39.92,"22A3_wild_type"
57.53,36.12,"22A3_wild_type"
34.31,60.89,"22A3_wild_type"
49.43,46.46,"22A3_wild_type"
28.34,68.67,"22A3_wild_type"
47.47,48.72,"22A3_wild_type"
40.06,56.47,"22A3_wild_type"
15.81,81.99,"22A3_wild_type"
50.59,45.69,"22A3_wild_type"
57.32,39.13,"22A3_wild_type"
43.41,53.73,"22A3_wild_type"
26.74,71.51,"22A3_wild_type"
59.51,38.46,"22A3_wild_type"
35.25,63.88,"22A3_wild_type"
36.82,62.31,"22A3_wild_type"
39.3,62.79,"22A3_wild_type"
42.32,59.85,"22A3_wild_type"
