"sfGFP_Sens_molecules","mCherry_Sens_molecules","genotype"
114.71,143.28,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
37.2,77.44,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
16.59,42.29,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
191.67,179.19,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
26.11,169.07,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
12.82,139.87,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
261.85,336.48,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
22.02,26.04,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
45.96,36.71,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
183.99,26.13,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
26.17,96.77,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
958.46,924.14,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
7.64,20.92,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
361.24,273.89,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
456.1,583.01,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
300.5,291.62,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
107.72,130.48,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
15.71,282.89,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
115.71,83.93,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1436.79,1124.28,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
45.06,22.09,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
48.62,115.44,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
698.27,1203.63,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
970.23,804.8,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
758.13,1061.84,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1090.42,1226.23,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
92.56,27.02,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
101.16,297.94,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
253.72,300.79,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
355.6,429.19,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
32.57,6.01,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
449.98,714.3,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
540.03,270.8,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
668.51,876.41,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
82.06,119.23,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
474.94,539.72,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
411.98,545.22,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
663.04,772.4,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
353.03,322.55,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
305.44,264.42,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
110.86,116.87,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
359.13,433.98,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
574.81,698.44,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
2062.51,2083.65,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1119.4,549.73,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
613.61,1052.48,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
2462.39,2878.56,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1363.18,2054.81,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
48.04,62.67,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
732.37,945.07,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
635.65,918.82,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
807.31,708.2,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1836.44,2648.28,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
173.32,6.45,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
589.55,898.14,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
8.96,17.31,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
137.96,166.57,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
3102.65,2764.35,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1870.12,1205.21,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
549.88,796.26,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
2510.59,2594.34,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
945.87,1173.31,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
788.71,637.55,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
650.98,783.26,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
553.23,1044.89,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
263.02,192.36,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
329.57,431.01,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
686.02,542.54,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
788.17,1082.37,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
3498.76,3244.2,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
982.68,873.72,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
57.96,32.56,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
409.04,679.05,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
410.15,421.52,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
161.36,347.47,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
3441.22,3007.69,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1126.39,1489.41,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
68.44,36.25,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
190.68,188.63,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
2738.62,2858.06,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
230.83,581.85,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1356.87,1369.96,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1620.89,1888.88,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
347.26,555.66,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
231.99,347.3,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
445.86,393.84,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
90.72,282.06,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
456.49,509.02,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
564.75,553.37,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
27.8,135.53,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
740.49,1763.55,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
673.34,292.91,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
304.48,402.43,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
188.94,594.12,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
436.42,902.91,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
177.1,274.56,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1189.94,962.5,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
527.61,1575.97,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
232.71,359.35,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
120.33,284.4,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
173.21,476.24,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
463.85,411.97,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
32.46,8.04,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
233.62,355.48,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
288.96,663.9,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
105.14,111.99,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
732.41,689.48,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
304.1,406.74,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
2294.4,1683.42,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
235.96,439.31,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
60.96,114.42,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
505.11,469.12,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
101.39,305.74,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
233.12,286.47,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
208.87,285.72,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
162.36,635.35,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1882.95,1404.86,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1861.92,1898.37,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1287.56,1637.15,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
82.92,89.33,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
73.66,40.31,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
516.29,518.31,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
150.76,173.14,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
135.04,114.63,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
357.54,148.53,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
233.23,313.16,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
34.92,58.92,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
236.28,295.69,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
376.88,148.7,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
187.43,355.58,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
2068.73,3010.77,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
497.05,402.21,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
28.24,27.41,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
110.97,179.28,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
25.19,68.02,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
94.91,7.97,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
74.97,57.11,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
91.61,171.65,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
188.87,270.01,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
105.22,188.6,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
165.22,350.8,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
24.43,55.09,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
72.76,20.56,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
99.88,145.12,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
65.56,94.32,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1921.57,2791.27,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
12.13,10.4,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
698.79,1136.97,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
61.77,10.87,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
174.75,171.02,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
47.62,96.98,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
107.19,216.74,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
83.43,99.87,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
106.31,4.94,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
68.05,230.55,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1179.09,1841.37,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
60.49,193.5,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
29.98,0.84,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
