"Site","type","Bristles_per_mm","Upper_confidence_limit","Lower_confidence_limit","Sample_size"
"57F5","+ miR",8.92703862660944,9.06976744186047,8.79864636209814,1063
"57F5","no miR",7.53874479899097,7.7037037037037,7.39687055476529,605
"57F5","Parent stock",7.41132069734827,7.62836185819071,7.1988924780803,177
"22A3","Parent stock",7.14377301119191,7.3758865248227,6.9179600886918,174
"22A3","+ miR",7.10064019554071,7.2122052704577,6.98611733094492,1004
"22A3","no miR",6.78645632132305,6.88741721854305,6.67522464698331,944
