"Mean_Protein_molecules","Uncorrected_Fano_factor","genotype"
32.21,46.44,"Allelic tag 22A3 wildtype"
32.51,35.5,"Allelic tag 22A3 wildtype"
32.76,42.14,"Allelic tag 22A3 wildtype"
33.03,42.97,"Allelic tag 22A3 wildtype"
33.35,38.84,"Allelic tag 22A3 wildtype"
33.65,33.32,"Allelic tag 22A3 wildtype"
33.92,29.32,"Allelic tag 22A3 wildtype"
34.17,27.39,"Allelic tag 22A3 wildtype"
34.47,23.54,"Allelic tag 22A3 wildtype"
34.81,57.82,"Allelic tag 22A3 wildtype"
35.12,27.46,"Allelic tag 22A3 wildtype"
35.37,68.49,"Allelic tag 22A3 wildtype"
35.73,53.92,"Allelic tag 22A3 wildtype"
36.02,38.27,"Allelic tag 22A3 wildtype"
36.35,32.15,"Allelic tag 22A3 wildtype"
36.62,43.64,"Allelic tag 22A3 wildtype"
36.89,55.09,"Allelic tag 22A3 wildtype"
37.31,47.77,"Allelic tag 22A3 wildtype"
37.58,32.91,"Allelic tag 22A3 wildtype"
37.92,58.16,"Allelic tag 22A3 wildtype"
38.24,57.53,"Allelic tag 22A3 wildtype"
38.59,79.77,"Allelic tag 22A3 wildtype"
38.9,45.12,"Allelic tag 22A3 wildtype"
39.24,46.71,"Allelic tag 22A3 wildtype"
39.59,47.47,"Allelic tag 22A3 wildtype"
39.94,39.55,"Allelic tag 22A3 wildtype"
40.24,33.11,"Allelic tag 22A3 wildtype"
40.61,76.31,"Allelic tag 22A3 wildtype"
40.96,54.38,"Allelic tag 22A3 wildtype"
41.31,44.91,"Allelic tag 22A3 wildtype"
41.65,51.41,"Allelic tag 22A3 wildtype"
42.03,44.88,"Allelic tag 22A3 wildtype"
42.39,44.82,"Allelic tag 22A3 wildtype"
42.78,52.31,"Allelic tag 22A3 wildtype"
43.12,35.96,"Allelic tag 22A3 wildtype"
43.49,57.49,"Allelic tag 22A3 wildtype"
43.92,39.41,"Allelic tag 22A3 wildtype"
44.28,42.78,"Allelic tag 22A3 wildtype"
44.57,62.27,"Allelic tag 22A3 wildtype"
45.02,58.49,"Allelic tag 22A3 wildtype"
45.42,79.55,"Allelic tag 22A3 wildtype"
