"sfGFP_Sens_molecules","mCherry_Sens_molecules","genotype"
36.55,18.98,"Tandem sfGFP-mCherry-Sens"
5.17,23.57,"Tandem sfGFP-mCherry-Sens"
16.06,39.1,"Tandem sfGFP-mCherry-Sens"
18.77,21.46,"Tandem sfGFP-mCherry-Sens"
230.31,217.71,"Tandem sfGFP-mCherry-Sens"
31.78,16.31,"Tandem sfGFP-mCherry-Sens"
47.88,15.78,"Tandem sfGFP-mCherry-Sens"
31.06,80.29,"Tandem sfGFP-mCherry-Sens"
8.42,41.99,"Tandem sfGFP-mCherry-Sens"
35,34.86,"Tandem sfGFP-mCherry-Sens"
61.67,31.58,"Tandem sfGFP-mCherry-Sens"
111.89,210.87,"Tandem sfGFP-mCherry-Sens"
263.15,376.52,"Tandem sfGFP-mCherry-Sens"
22.8,51.54,"Tandem sfGFP-mCherry-Sens"
54.68,126.11,"Tandem sfGFP-mCherry-Sens"
8.67,27.78,"Tandem sfGFP-mCherry-Sens"
212.01,243.02,"Tandem sfGFP-mCherry-Sens"
113.59,133.47,"Tandem sfGFP-mCherry-Sens"
82.41,111.76,"Tandem sfGFP-mCherry-Sens"
51.38,56.3,"Tandem sfGFP-mCherry-Sens"
121.67,214.25,"Tandem sfGFP-mCherry-Sens"
14.34,25.62,"Tandem sfGFP-mCherry-Sens"
36.42,60.31,"Tandem sfGFP-mCherry-Sens"
79.43,103.09,"Tandem sfGFP-mCherry-Sens"
7.56,41.29,"Tandem sfGFP-mCherry-Sens"
355.6,601.97,"Tandem sfGFP-mCherry-Sens"
3.31,90.56,"Tandem sfGFP-mCherry-Sens"
230.51,307.81,"Tandem sfGFP-mCherry-Sens"
359.23,408.31,"Tandem sfGFP-mCherry-Sens"
181.42,216.64,"Tandem sfGFP-mCherry-Sens"
564.23,662.96,"Tandem sfGFP-mCherry-Sens"
75.11,116.56,"Tandem sfGFP-mCherry-Sens"
40.73,38.25,"Tandem sfGFP-mCherry-Sens"
38,108.1,"Tandem sfGFP-mCherry-Sens"
10.96,42.31,"Tandem sfGFP-mCherry-Sens"
78.61,222.52,"Tandem sfGFP-mCherry-Sens"
12.21,31.04,"Tandem sfGFP-mCherry-Sens"
31.23,26.67,"Tandem sfGFP-mCherry-Sens"
288.07,394.64,"Tandem sfGFP-mCherry-Sens"
76.33,155.14,"Tandem sfGFP-mCherry-Sens"
104.73,137.41,"Tandem sfGFP-mCherry-Sens"
277.83,353.14,"Tandem sfGFP-mCherry-Sens"
12.96,42.3,"Tandem sfGFP-mCherry-Sens"
14.8,31.88,"Tandem sfGFP-mCherry-Sens"
184.49,237.72,"Tandem sfGFP-mCherry-Sens"
71.1,108.29,"Tandem sfGFP-mCherry-Sens"
40.46,20.66,"Tandem sfGFP-mCherry-Sens"
36.61,16.72,"Tandem sfGFP-mCherry-Sens"
118.73,197.76,"Tandem sfGFP-mCherry-Sens"
5.99,34.49,"Tandem sfGFP-mCherry-Sens"
39.7,33.03,"Tandem sfGFP-mCherry-Sens"
20.67,33.91,"Tandem sfGFP-mCherry-Sens"
27.18,69.11,"Tandem sfGFP-mCherry-Sens"
32.84,45.62,"Tandem sfGFP-mCherry-Sens"
330.08,354.97,"Tandem sfGFP-mCherry-Sens"
38.48,93.51,"Tandem sfGFP-mCherry-Sens"
9.94,25.82,"Tandem sfGFP-mCherry-Sens"
79.19,109.2,"Tandem sfGFP-mCherry-Sens"
19.64,155.69,"Tandem sfGFP-mCherry-Sens"
59.11,83.11,"Tandem sfGFP-mCherry-Sens"
81.89,104.07,"Tandem sfGFP-mCherry-Sens"
49.84,66.37,"Tandem sfGFP-mCherry-Sens"
7.53,33.53,"Tandem sfGFP-mCherry-Sens"
147.85,192.53,"Tandem sfGFP-mCherry-Sens"
32.03,104.84,"Tandem sfGFP-mCherry-Sens"
54.04,89.88,"Tandem sfGFP-mCherry-Sens"
70.38,46.7,"Tandem sfGFP-mCherry-Sens"
625.73,780.66,"Tandem sfGFP-mCherry-Sens"
2.84,61.15,"Tandem sfGFP-mCherry-Sens"
103.88,109.03,"Tandem sfGFP-mCherry-Sens"
44.53,33.17,"Tandem sfGFP-mCherry-Sens"
157.26,162.79,"Tandem sfGFP-mCherry-Sens"
21.09,24.52,"Tandem sfGFP-mCherry-Sens"
313.46,252.18,"Tandem sfGFP-mCherry-Sens"
8.93,33.88,"Tandem sfGFP-mCherry-Sens"
625.84,738.06,"Tandem sfGFP-mCherry-Sens"
7.01,16.71,"Tandem sfGFP-mCherry-Sens"
127.43,176.3,"Tandem sfGFP-mCherry-Sens"
97.6,185.29,"Tandem sfGFP-mCherry-Sens"
300.41,353.51,"Tandem sfGFP-mCherry-Sens"
69.03,45.69,"Tandem sfGFP-mCherry-Sens"
66.34,23.03,"Tandem sfGFP-mCherry-Sens"
156,177.08,"Tandem sfGFP-mCherry-Sens"
