"site","type","positive","total"
"22A3/22A3","+ miR-9a",2,62
"22A3/22A3","-miR-9a",3,83
"22A3/22A3","attP",0,60
"57F5/57F5","+ miR-9a",23,79
"57F5/57F5","-miR-9a",12,65
"57F5/57F5","attP",0,88
"22A3/57F5","+ miR-9a",1,60
"22A3/57F5","-miR-9a",4,64
"22A3/57F5","attP",0,60
