"Mean_Protein_molecules","Fano Factor","genotype"
242.09,8.3,"Allelic tag 22A3 wildtype"
244.28,9.34,"Allelic tag 22A3 wildtype"
246.29,31.18,"Allelic tag 22A3 wildtype"
248.43,11.02,"Allelic tag 22A3 wildtype"
250.58,8.98,"Allelic tag 22A3 wildtype"
252.78,9.67,"Allelic tag 22A3 wildtype"
254.96,17.79,"Allelic tag 22A3 wildtype"
257.04,4.65,"Allelic tag 22A3 wildtype"
259.42,15.31,"Allelic tag 22A3 wildtype"
261.53,11.6,"Allelic tag 22A3 wildtype"
263.78,14.57,"Allelic tag 22A3 wildtype"
266.02,17.91,"Allelic tag 22A3 wildtype"
268.42,19.82,"Allelic tag 22A3 wildtype"
270.69,16.99,"Allelic tag 22A3 wildtype"
272.97,15.21,"Allelic tag 22A3 wildtype"
275.32,18.09,"Allelic tag 22A3 wildtype"
277.81,10.96,"Allelic tag 22A3 wildtype"
280.15,26.27,"Allelic tag 22A3 wildtype"
282.61,16.76,"Allelic tag 22A3 wildtype"
285.04,15.55,"Allelic tag 22A3 wildtype"
287.42,8.36,"Allelic tag 22A3 wildtype"
289.97,10.48,"Allelic tag 22A3 wildtype"
292.52,16.41,"Allelic tag 22A3 wildtype"
294.99,10.74,"Allelic tag 22A3 wildtype"
297.58,12.41,"Allelic tag 22A3 wildtype"
300.14,13.11,"Allelic tag 22A3 wildtype"
302.68,20.98,"Allelic tag 22A3 wildtype"
305.17,10.37,"Allelic tag 22A3 wildtype"
307.99,17.5,"Allelic tag 22A3 wildtype"
310.57,11.63,"Allelic tag 22A3 wildtype"
313.24,9.04,"Allelic tag 22A3 wildtype"
315.86,11.96,"Allelic tag 22A3 wildtype"
318.71,11.82,"Allelic tag 22A3 wildtype"
321.53,12.05,"Allelic tag 22A3 wildtype"
324.28,19.74,"Allelic tag 22A3 wildtype"
326.94,8.8,"Allelic tag 22A3 wildtype"
329.81,19.57,"Allelic tag 22A3 wildtype"
332.67,13.55,"Allelic tag 22A3 wildtype"
335.64,23.11,"Allelic tag 22A3 wildtype"
338.44,14.93,"Allelic tag 22A3 wildtype"
341.31,13.73,"Allelic tag 22A3 wildtype"
344.31,7.51,"Allelic tag 22A3 wildtype"
347.27,11.24,"Allelic tag 22A3 wildtype"
350.24,11.88,"Allelic tag 22A3 wildtype"
353.36,10.96,"Allelic tag 22A3 wildtype"
356.29,17.23,"Allelic tag 22A3 wildtype"
359.42,16.98,"Allelic tag 22A3 wildtype"
362.39,24.51,"Allelic tag 22A3 wildtype"
365.64,12.17,"Allelic tag 22A3 wildtype"
368.74,11.57,"Allelic tag 22A3 wildtype"
371.99,16,"Allelic tag 22A3 wildtype"
376.37,8.92,"Allelic tag 22A3 wildtype"
383.64,7.47,"Allelic tag 22A3 wildtype"
392.34,20.04,"Allelic tag 22A3 wildtype"
401.13,14.08,"Allelic tag 22A3 wildtype"
409.94,13.67,"Allelic tag 22A3 wildtype"
419.18,12.65,"Allelic tag 22A3 wildtype"
428.6,21.64,"Allelic tag 22A3 wildtype"
438.48,17.53,"Allelic tag 22A3 wildtype"
448.42,18.26,"Allelic tag 22A3 wildtype"
458.48,18.77,"Allelic tag 22A3 wildtype"
468.92,14.29,"Allelic tag 22A3 wildtype"
479.59,12.48,"Allelic tag 22A3 wildtype"
490.03,13.2,"Allelic tag 22A3 wildtype"
501.37,15.64,"Allelic tag 22A3 wildtype"
512.38,14.12,"Allelic tag 22A3 wildtype"
524.14,15.83,"Allelic tag 22A3 wildtype"
536.25,13.25,"Allelic tag 22A3 wildtype"
548.24,25.92,"Allelic tag 22A3 wildtype"
560.74,24.07,"Allelic tag 22A3 wildtype"
573,12.84,"Allelic tag 22A3 wildtype"
586.03,14.38,"Allelic tag 22A3 wildtype"
599.41,20.04,"Allelic tag 22A3 wildtype"
612.75,21.55,"Allelic tag 22A3 wildtype"
626.77,16.15,"Allelic tag 22A3 wildtype"
640.42,17.83,"Allelic tag 22A3 wildtype"
655.02,30.84,"Allelic tag 22A3 wildtype"
669.55,21.63,"Allelic tag 22A3 wildtype"
685,18.93,"Allelic tag 22A3 wildtype"
700.52,18.21,"Allelic tag 22A3 wildtype"
716.86,25.04,"Allelic tag 22A3 wildtype"
732.7,21.13,"Allelic tag 22A3 wildtype"
748.52,30.47,"Allelic tag 22A3 wildtype"
765.68,22.66,"Allelic tag 22A3 wildtype"
783.62,27.08,"Allelic tag 22A3 wildtype"
800.84,30.3,"Allelic tag 22A3 wildtype"
818.45,28.54,"Allelic tag 22A3 wildtype"
837.14,26.59,"Allelic tag 22A3 wildtype"
856.18,22.72,"Allelic tag 22A3 wildtype"
875.3,37.94,"Allelic tag 22A3 wildtype"
895.06,29.51,"Allelic tag 22A3 wildtype"
915.63,22.13,"Allelic tag 22A3 wildtype"
936.63,38.76,"Allelic tag 22A3 wildtype"
957.05,23.98,"Allelic tag 22A3 wildtype"
979.02,27.42,"Allelic tag 22A3 wildtype"
28.05,6.22,"Allelic tag 22A3 mutant"
30.29,39.93,"Allelic tag 22A3 mutant"
30.58,29.45,"Allelic tag 22A3 mutant"
30.82,13.43,"Allelic tag 22A3 mutant"
33.03,4.98,"Allelic tag 22A3 mutant"
33.34,3.84,"Allelic tag 22A3 mutant"
35.4,2.74,"Allelic tag 22A3 mutant"
35.68,23.6,"Allelic tag 22A3 mutant"
36.3,20.95,"Allelic tag 22A3 mutant"
36.68,15.38,"Allelic tag 22A3 mutant"
37.01,4.17,"Allelic tag 22A3 mutant"
37.29,37.33,"Allelic tag 22A3 mutant"
37.61,20.26,"Allelic tag 22A3 mutant"
38.27,22.13,"Allelic tag 22A3 mutant"
38.92,0.34,"Allelic tag 22A3 mutant"
39.58,1.06,"Allelic tag 22A3 mutant"
39.91,35.66,"Allelic tag 22A3 mutant"
40.26,3.94,"Allelic tag 22A3 mutant"
40.63,24.45,"Allelic tag 22A3 mutant"
40.95,5.18,"Allelic tag 22A3 mutant"
41.32,13.84,"Allelic tag 22A3 mutant"
41.68,3.75,"Allelic tag 22A3 mutant"
42.01,63.23,"Allelic tag 22A3 mutant"
42.39,16.8,"Allelic tag 22A3 mutant"
42.77,29.19,"Allelic tag 22A3 mutant"
43.49,18.51,"Allelic tag 22A3 mutant"
43.88,17.16,"Allelic tag 22A3 mutant"
44.25,12.73,"Allelic tag 22A3 mutant"
44.65,58.99,"Allelic tag 22A3 mutant"
45.04,31.91,"Allelic tag 22A3 mutant"
45.38,58.79,"Allelic tag 22A3 mutant"
45.79,29.6,"Allelic tag 22A3 mutant"
46.21,30.15,"Allelic tag 22A3 mutant"
46.6,28.53,"Allelic tag 22A3 mutant"
46.97,21.38,"Allelic tag 22A3 mutant"
47.43,80.7,"Allelic tag 22A3 mutant"
47.8,54,"Allelic tag 22A3 mutant"
48.2,69.87,"Allelic tag 22A3 mutant"
48.66,41.64,"Allelic tag 22A3 mutant"
49.03,45.5,"Allelic tag 22A3 mutant"
49.49,27.92,"Allelic tag 22A3 mutant"
49.88,49.18,"Allelic tag 22A3 mutant"
50.32,49.49,"Allelic tag 22A3 mutant"
50.75,57.92,"Allelic tag 22A3 mutant"
51.22,60.69,"Allelic tag 22A3 mutant"
51.66,51.4,"Allelic tag 22A3 mutant"
52.09,33.88,"Allelic tag 22A3 mutant"
52.51,40.72,"Allelic tag 22A3 mutant"
53.02,32.78,"Allelic tag 22A3 mutant"
53.46,41.13,"Allelic tag 22A3 mutant"
53.91,25.1,"Allelic tag 22A3 mutant"
54.36,59.03,"Allelic tag 22A3 mutant"
54.85,57.15,"Allelic tag 22A3 mutant"
55.3,56.18,"Allelic tag 22A3 mutant"
55.83,22.47,"Allelic tag 22A3 mutant"
56.27,49.81,"Allelic tag 22A3 mutant"
56.77,34.31,"Allelic tag 22A3 mutant"
57.26,33.05,"Allelic tag 22A3 mutant"
57.72,31.6,"Allelic tag 22A3 mutant"
58.25,42.51,"Allelic tag 22A3 mutant"
58.72,26.22,"Allelic tag 22A3 mutant"
59.23,48.66,"Allelic tag 22A3 mutant"
59.69,38.57,"Allelic tag 22A3 mutant"
60.26,49.7,"Allelic tag 22A3 mutant"
60.82,50.26,"Allelic tag 22A3 mutant"
61.35,30.24,"Allelic tag 22A3 mutant"
61.83,25.68,"Allelic tag 22A3 mutant"
62.34,36.66,"Allelic tag 22A3 mutant"
62.91,17.86,"Allelic tag 22A3 mutant"
63.45,36.68,"Allelic tag 22A3 mutant"
63.99,86.43,"Allelic tag 22A3 mutant"
64.57,42.38,"Allelic tag 22A3 mutant"
65.12,45.58,"Allelic tag 22A3 mutant"
65.69,43.96,"Allelic tag 22A3 mutant"
66.25,53.59,"Allelic tag 22A3 mutant"
66.8,33.79,"Allelic tag 22A3 mutant"
67.39,43.36,"Allelic tag 22A3 mutant"
67.98,39.71,"Allelic tag 22A3 mutant"
68.6,54.13,"Allelic tag 22A3 mutant"
69.15,44.8,"Allelic tag 22A3 mutant"
69.72,37.2,"Allelic tag 22A3 mutant"
70.35,63.17,"Allelic tag 22A3 mutant"
70.96,37.72,"Allelic tag 22A3 mutant"
71.58,47,"Allelic tag 22A3 mutant"
72.22,44.22,"Allelic tag 22A3 mutant"
72.83,58.33,"Allelic tag 22A3 mutant"
73.42,65.76,"Allelic tag 22A3 mutant"
74.08,39.12,"Allelic tag 22A3 mutant"
74.75,58.48,"Allelic tag 22A3 mutant"
75.35,48.98,"Allelic tag 22A3 mutant"
76.02,58.55,"Allelic tag 22A3 mutant"
76.67,53.18,"Allelic tag 22A3 mutant"
77.31,44.69,"Allelic tag 22A3 mutant"
77.98,53.15,"Allelic tag 22A3 mutant"
78.66,43.09,"Allelic tag 22A3 mutant"
79.3,44.58,"Allelic tag 22A3 mutant"
80.01,49.72,"Allelic tag 22A3 mutant"
80.73,43.88,"Allelic tag 22A3 mutant"
81.38,46.68,"Allelic tag 22A3 mutant"
82.13,67.3,"Allelic tag 22A3 mutant"
82.83,45.6,"Allelic tag 22A3 mutant"
83.5,31.22,"Allelic tag 22A3 mutant"
84.23,43.31,"Allelic tag 22A3 mutant"
84.98,50.08,"Allelic tag 22A3 mutant"
85.71,48.36,"Allelic tag 22A3 mutant"
86.42,36.75,"Allelic tag 22A3 mutant"
87.2,55.49,"Allelic tag 22A3 mutant"
87.95,34.06,"Allelic tag 22A3 mutant"
88.7,63.51,"Allelic tag 22A3 mutant"
89.45,57.77,"Allelic tag 22A3 mutant"
90.25,63.1,"Allelic tag 22A3 mutant"
91.04,60.2,"Allelic tag 22A3 mutant"
91.78,52.34,"Allelic tag 22A3 mutant"
92.58,57.74,"Allelic tag 22A3 mutant"
93.37,63.09,"Allelic tag 22A3 mutant"
94.21,37.89,"Allelic tag 22A3 mutant"
94.97,51.64,"Allelic tag 22A3 mutant"
95.83,35.5,"Allelic tag 22A3 mutant"
96.64,50.88,"Allelic tag 22A3 mutant"
97.49,59.77,"Allelic tag 22A3 mutant"
98.31,51.04,"Allelic tag 22A3 mutant"
99.17,42.65,"Allelic tag 22A3 mutant"
100.03,51.41,"Allelic tag 22A3 mutant"
100.86,54.43,"Allelic tag 22A3 mutant"
101.73,48.88,"Allelic tag 22A3 mutant"
102.62,38.33,"Allelic tag 22A3 mutant"
103.54,53.7,"Allelic tag 22A3 mutant"
104.4,61.29,"Allelic tag 22A3 mutant"
105.34,41.56,"Allelic tag 22A3 mutant"
106.24,47.4,"Allelic tag 22A3 mutant"
107.15,53,"Allelic tag 22A3 mutant"
108.05,53.54,"Allelic tag 22A3 mutant"
108.97,39.82,"Allelic tag 22A3 mutant"
109.91,58.4,"Allelic tag 22A3 mutant"
110.86,46.93,"Allelic tag 22A3 mutant"
111.81,50.44,"Allelic tag 22A3 mutant"
112.79,63.19,"Allelic tag 22A3 mutant"
113.8,51.19,"Allelic tag 22A3 mutant"
114.71,51.84,"Allelic tag 22A3 mutant"
115.75,46.13,"Allelic tag 22A3 mutant"
116.7,65.96,"Allelic tag 22A3 mutant"
117.74,50.89,"Allelic tag 22A3 mutant"
118.75,50.78,"Allelic tag 22A3 mutant"
119.79,57.47,"Allelic tag 22A3 mutant"
120.81,48.08,"Allelic tag 22A3 mutant"
121.83,45.86,"Allelic tag 22A3 mutant"
122.86,60.28,"Allelic tag 22A3 mutant"
123.99,51.82,"Allelic tag 22A3 mutant"
125.04,50.91,"Allelic tag 22A3 mutant"
126.15,39.76,"Allelic tag 22A3 mutant"
127.22,49.36,"Allelic tag 22A3 mutant"
128.31,64.27,"Allelic tag 22A3 mutant"
129.38,44.49,"Allelic tag 22A3 mutant"
130.52,42.72,"Allelic tag 22A3 mutant"
131.6,67.46,"Allelic tag 22A3 mutant"
132.79,62.79,"Allelic tag 22A3 mutant"
133.87,55.5,"Allelic tag 22A3 mutant"
135.05,67.33,"Allelic tag 22A3 mutant"
136.27,44.75,"Allelic tag 22A3 mutant"
137.41,53.87,"Allelic tag 22A3 mutant"
138.62,34.47,"Allelic tag 22A3 mutant"
139.78,60.66,"Allelic tag 22A3 mutant"
141.02,47.17,"Allelic tag 22A3 mutant"
142.16,57.35,"Allelic tag 22A3 mutant"
143.38,50.75,"Allelic tag 22A3 mutant"
144.69,47.24,"Allelic tag 22A3 mutant"
145.92,36.65,"Allelic tag 22A3 mutant"
147.2,44.72,"Allelic tag 22A3 mutant"
148.46,42.31,"Allelic tag 22A3 mutant"
149.73,41.23,"Allelic tag 22A3 mutant"
151.02,36.41,"Allelic tag 22A3 mutant"
152.33,46.61,"Allelic tag 22A3 mutant"
153.64,46.01,"Allelic tag 22A3 mutant"
154.95,40.01,"Allelic tag 22A3 mutant"
156.28,45.44,"Allelic tag 22A3 mutant"
157.68,49.82,"Allelic tag 22A3 mutant"
158.99,37.22,"Allelic tag 22A3 mutant"
160.36,46.98,"Allelic tag 22A3 mutant"
161.76,35.87,"Allelic tag 22A3 mutant"
163.15,36.66,"Allelic tag 22A3 mutant"
164.56,53.48,"Allelic tag 22A3 mutant"
166.01,36.84,"Allelic tag 22A3 mutant"
167.39,32.81,"Allelic tag 22A3 mutant"
168.86,41.58,"Allelic tag 22A3 mutant"
170.31,51.95,"Allelic tag 22A3 mutant"
171.79,42.98,"Allelic tag 22A3 mutant"
173.24,48.95,"Allelic tag 22A3 mutant"
174.72,29.6,"Allelic tag 22A3 mutant"
176.23,44.36,"Allelic tag 22A3 mutant"
177.74,59.51,"Allelic tag 22A3 mutant"
179.31,37.92,"Allelic tag 22A3 mutant"
180.8,17.63,"Allelic tag 22A3 mutant"
182.38,38.85,"Allelic tag 22A3 mutant"
183.97,35.58,"Allelic tag 22A3 mutant"
185.64,42.86,"Allelic tag 22A3 mutant"
187.13,44.86,"Allelic tag 22A3 mutant"
188.8,43.04,"Allelic tag 22A3 mutant"
190.37,51.5,"Allelic tag 22A3 mutant"
192.05,35.64,"Allelic tag 22A3 mutant"
193.7,29.5,"Allelic tag 22A3 mutant"
195.34,46.38,"Allelic tag 22A3 mutant"
197.01,38.1,"Allelic tag 22A3 mutant"
198.76,41.52,"Allelic tag 22A3 mutant"
200.45,51.23,"Allelic tag 22A3 mutant"
202.15,35.08,"Allelic tag 22A3 mutant"
203.96,44.62,"Allelic tag 22A3 mutant"
205.67,39.91,"Allelic tag 22A3 mutant"
207.51,33.89,"Allelic tag 22A3 mutant"
209.26,36.33,"Allelic tag 22A3 mutant"
211.14,45.16,"Allelic tag 22A3 mutant"
212.87,28.86,"Allelic tag 22A3 mutant"
214.67,29.56,"Allelic tag 22A3 mutant"
216.57,39.16,"Allelic tag 22A3 mutant"
218.47,38.19,"Allelic tag 22A3 mutant"
220.33,26.84,"Allelic tag 22A3 mutant"
222.18,34.9,"Allelic tag 22A3 mutant"
224.17,37.15,"Allelic tag 22A3 mutant"
226.07,36.5,"Allelic tag 22A3 mutant"
228.06,38.94,"Allelic tag 22A3 mutant"
230,32.49,"Allelic tag 22A3 mutant"
231.97,35.09,"Allelic tag 22A3 mutant"
233.96,36.07,"Allelic tag 22A3 mutant"
235.94,55.72,"Allelic tag 22A3 mutant"
238,37.59,"Allelic tag 22A3 mutant"
240.11,33.42,"Allelic tag 22A3 mutant"
242.15,25.72,"Allelic tag 22A3 mutant"
244.22,33.87,"Allelic tag 22A3 mutant"
246.32,38.66,"Allelic tag 22A3 mutant"
