"Mean_Protein_molecules","Fano Factor","genotype"
29.3,17.45,"Allelic tag 22A3 wildtype"
31.68,15.28,"Allelic tag 22A3 wildtype"
32.21,5.38,"Allelic tag 22A3 wildtype"
32.76,1.32,"Allelic tag 22A3 wildtype"
33.03,2.26,"Allelic tag 22A3 wildtype"
34.81,17.84,"Allelic tag 22A3 wildtype"
35.37,28.73,"Allelic tag 22A3 wildtype"
35.73,14.3,"Allelic tag 22A3 wildtype"
36.62,4.33,"Allelic tag 22A3 wildtype"
36.89,15.87,"Allelic tag 22A3 wildtype"
37.31,8.7,"Allelic tag 22A3 wildtype"
37.92,19.29,"Allelic tag 22A3 wildtype"
38.24,18.77,"Allelic tag 22A3 wildtype"
38.59,41.12,"Allelic tag 22A3 wildtype"
38.9,6.56,"Allelic tag 22A3 wildtype"
39.24,8.26,"Allelic tag 22A3 wildtype"
39.59,9.12,"Allelic tag 22A3 wildtype"
39.94,1.32,"Allelic tag 22A3 wildtype"
40.61,38.26,"Allelic tag 22A3 wildtype"
40.96,16.44,"Allelic tag 22A3 wildtype"
41.31,7.06,"Allelic tag 22A3 wildtype"
41.65,13.65,"Allelic tag 22A3 wildtype"
42.03,7.23,"Allelic tag 22A3 wildtype"
42.39,7.26,"Allelic tag 22A3 wildtype"
42.78,14.85,"Allelic tag 22A3 wildtype"
43.49,20.21,"Allelic tag 22A3 wildtype"
43.92,2.23,"Allelic tag 22A3 wildtype"
44.28,5.69,"Allelic tag 22A3 wildtype"
44.57,25.25,"Allelic tag 22A3 wildtype"
45.02,21.57,"Allelic tag 22A3 wildtype"
45.42,42.73,"Allelic tag 22A3 wildtype"
45.81,18.05,"Allelic tag 22A3 wildtype"
46.21,9.89,"Allelic tag 22A3 wildtype"
46.57,19.25,"Allelic tag 22A3 wildtype"
46.97,13.88,"Allelic tag 22A3 wildtype"
47.38,29.26,"Allelic tag 22A3 wildtype"
47.81,16.32,"Allelic tag 22A3 wildtype"
48.21,9.25,"Allelic tag 22A3 wildtype"
48.66,47.17,"Allelic tag 22A3 wildtype"
49.07,18.17,"Allelic tag 22A3 wildtype"
49.48,11.46,"Allelic tag 22A3 wildtype"
49.92,27.56,"Allelic tag 22A3 wildtype"
50.34,15.45,"Allelic tag 22A3 wildtype"
50.79,11.43,"Allelic tag 22A3 wildtype"
51.18,0.21,"Allelic tag 22A3 wildtype"
51.65,12.66,"Allelic tag 22A3 wildtype"
52.12,22.2,"Allelic tag 22A3 wildtype"
52.53,21.92,"Allelic tag 22A3 wildtype"
52.98,9.13,"Allelic tag 22A3 wildtype"
53.44,11.44,"Allelic tag 22A3 wildtype"
53.97,24.62,"Allelic tag 22A3 wildtype"
54.38,18.34,"Allelic tag 22A3 wildtype"
54.84,23.25,"Allelic tag 22A3 wildtype"
55.31,3.56,"Allelic tag 22A3 wildtype"
55.77,10.3,"Allelic tag 22A3 wildtype"
56.27,51.73,"Allelic tag 22A3 wildtype"
56.72,11.55,"Allelic tag 22A3 wildtype"
57.25,6.22,"Allelic tag 22A3 wildtype"
57.78,9.18,"Allelic tag 22A3 wildtype"
58.25,11.81,"Allelic tag 22A3 wildtype"
58.75,11.99,"Allelic tag 22A3 wildtype"
59.24,25.46,"Allelic tag 22A3 wildtype"
60.29,11.48,"Allelic tag 22A3 wildtype"
60.77,6.1,"Allelic tag 22A3 wildtype"
61.34,13.87,"Allelic tag 22A3 wildtype"
61.9,48.49,"Allelic tag 22A3 wildtype"
62.42,40.55,"Allelic tag 22A3 wildtype"
62.94,21.87,"Allelic tag 22A3 wildtype"
63.43,12.54,"Allelic tag 22A3 wildtype"
63.99,15.46,"Allelic tag 22A3 wildtype"
64.56,15.83,"Allelic tag 22A3 wildtype"
65.12,22.77,"Allelic tag 22A3 wildtype"
65.7,13.41,"Allelic tag 22A3 wildtype"
66.2,7.73,"Allelic tag 22A3 wildtype"
66.83,13.04,"Allelic tag 22A3 wildtype"
67.34,16.37,"Allelic tag 22A3 wildtype"
67.94,23.66,"Allelic tag 22A3 wildtype"
68.58,22.37,"Allelic tag 22A3 wildtype"
69.14,10.66,"Allelic tag 22A3 wildtype"
69.73,28.94,"Allelic tag 22A3 wildtype"
70.37,21.88,"Allelic tag 22A3 wildtype"
70.95,22.55,"Allelic tag 22A3 wildtype"
71.55,15.26,"Allelic tag 22A3 wildtype"
72.15,3.21,"Allelic tag 22A3 wildtype"
72.84,11.79,"Allelic tag 22A3 wildtype"
73.44,12.05,"Allelic tag 22A3 wildtype"
74.08,13.25,"Allelic tag 22A3 wildtype"
74.72,27.17,"Allelic tag 22A3 wildtype"
75.33,21.02,"Allelic tag 22A3 wildtype"
75.98,13.26,"Allelic tag 22A3 wildtype"
76.71,7.09,"Allelic tag 22A3 wildtype"
77.97,19.27,"Allelic tag 22A3 wildtype"
78.62,17.25,"Allelic tag 22A3 wildtype"
79.29,25.04,"Allelic tag 22A3 wildtype"
80.04,9.16,"Allelic tag 22A3 wildtype"
80.71,23.87,"Allelic tag 22A3 wildtype"
81.4,13.01,"Allelic tag 22A3 wildtype"
82.09,20.59,"Allelic tag 22A3 wildtype"
82.8,8.71,"Allelic tag 22A3 wildtype"
83.55,18.5,"Allelic tag 22A3 wildtype"
84.24,16.28,"Allelic tag 22A3 wildtype"
84.97,13.12,"Allelic tag 22A3 wildtype"
85.71,15.62,"Allelic tag 22A3 wildtype"
86.46,10,"Allelic tag 22A3 wildtype"
87.2,33.24,"Allelic tag 22A3 wildtype"
87.94,11.04,"Allelic tag 22A3 wildtype"
88.67,17.17,"Allelic tag 22A3 wildtype"
89.45,19.59,"Allelic tag 22A3 wildtype"
90.26,6.55,"Allelic tag 22A3 wildtype"
91.02,11.68,"Allelic tag 22A3 wildtype"
91.81,19.45,"Allelic tag 22A3 wildtype"
92.57,2.51,"Allelic tag 22A3 wildtype"
93.4,21.18,"Allelic tag 22A3 wildtype"
94.16,10.67,"Allelic tag 22A3 wildtype"
94.97,15.67,"Allelic tag 22A3 wildtype"
95.77,17.65,"Allelic tag 22A3 wildtype"
96.65,7.07,"Allelic tag 22A3 wildtype"
97.48,15.54,"Allelic tag 22A3 wildtype"
98.3,22.79,"Allelic tag 22A3 wildtype"
99.19,8.02,"Allelic tag 22A3 wildtype"
100.02,17.38,"Allelic tag 22A3 wildtype"
100.85,12.09,"Allelic tag 22A3 wildtype"
101.75,16.25,"Allelic tag 22A3 wildtype"
102.62,9.39,"Allelic tag 22A3 wildtype"
103.48,21.64,"Allelic tag 22A3 wildtype"
104.39,25.42,"Allelic tag 22A3 wildtype"
105.28,6.78,"Allelic tag 22A3 wildtype"
106.22,12.01,"Allelic tag 22A3 wildtype"
107.16,16.47,"Allelic tag 22A3 wildtype"
108,10.14,"Allelic tag 22A3 wildtype"
109,15.66,"Allelic tag 22A3 wildtype"
109.96,22.04,"Allelic tag 22A3 wildtype"
110.85,3.78,"Allelic tag 22A3 wildtype"
111.8,22.08,"Allelic tag 22A3 wildtype"
112.77,20.39,"Allelic tag 22A3 wildtype"
113.83,11.09,"Allelic tag 22A3 wildtype"
114.76,29.81,"Allelic tag 22A3 wildtype"
115.72,10.17,"Allelic tag 22A3 wildtype"
116.7,13.76,"Allelic tag 22A3 wildtype"
117.75,15.37,"Allelic tag 22A3 wildtype"
118.77,1.98,"Allelic tag 22A3 wildtype"
119.79,1.07,"Allelic tag 22A3 wildtype"
120.84,18.88,"Allelic tag 22A3 wildtype"
121.83,28.76,"Allelic tag 22A3 wildtype"
122.95,27.49,"Allelic tag 22A3 wildtype"
123.92,8.81,"Allelic tag 22A3 wildtype"
125,5.52,"Allelic tag 22A3 wildtype"
126.13,11.8,"Allelic tag 22A3 wildtype"
127.19,18.97,"Allelic tag 22A3 wildtype"
128.34,21.99,"Allelic tag 22A3 wildtype"
129.39,17.32,"Allelic tag 22A3 wildtype"
130.52,7.35,"Allelic tag 22A3 wildtype"
131.66,7.65,"Allelic tag 22A3 wildtype"
132.81,23.15,"Allelic tag 22A3 wildtype"
133.91,8.77,"Allelic tag 22A3 wildtype"
135.06,14.62,"Allelic tag 22A3 wildtype"
136.16,8.45,"Allelic tag 22A3 wildtype"
137.38,18.8,"Allelic tag 22A3 wildtype"
138.58,21.64,"Allelic tag 22A3 wildtype"
139.79,13.76,"Allelic tag 22A3 wildtype"
141.09,10.56,"Allelic tag 22A3 wildtype"
142.29,20.2,"Allelic tag 22A3 wildtype"
143.44,8.31,"Allelic tag 22A3 wildtype"
144.69,23.69,"Allelic tag 22A3 wildtype"
145.86,16.16,"Allelic tag 22A3 wildtype"
147.2,13.46,"Allelic tag 22A3 wildtype"
148.4,6.61,"Allelic tag 22A3 wildtype"
149.72,19.32,"Allelic tag 22A3 wildtype"
151.11,12.73,"Allelic tag 22A3 wildtype"
152.34,17.55,"Allelic tag 22A3 wildtype"
153.63,19.56,"Allelic tag 22A3 wildtype"
154.95,18.87,"Allelic tag 22A3 wildtype"
156.31,14.92,"Allelic tag 22A3 wildtype"
157.67,9.17,"Allelic tag 22A3 wildtype"
159.03,7.52,"Allelic tag 22A3 wildtype"
160.41,7.92,"Allelic tag 22A3 wildtype"
161.76,18.58,"Allelic tag 22A3 wildtype"
163.14,8.76,"Allelic tag 22A3 wildtype"
164.51,7.6,"Allelic tag 22A3 wildtype"
165.99,4.44,"Allelic tag 22A3 wildtype"
167.41,29.02,"Allelic tag 22A3 wildtype"
168.84,7.7,"Allelic tag 22A3 wildtype"
170.3,16.59,"Allelic tag 22A3 wildtype"
171.85,12.25,"Allelic tag 22A3 wildtype"
173.21,3.39,"Allelic tag 22A3 wildtype"
174.74,9.38,"Allelic tag 22A3 wildtype"
176.26,17.83,"Allelic tag 22A3 wildtype"
177.77,17.53,"Allelic tag 22A3 wildtype"
179.29,10.26,"Allelic tag 22A3 wildtype"
180.87,15.7,"Allelic tag 22A3 wildtype"
182.43,5.47,"Allelic tag 22A3 wildtype"
183.91,5.33,"Allelic tag 22A3 wildtype"
185.65,12.01,"Allelic tag 22A3 wildtype"
187.13,10.38,"Allelic tag 22A3 wildtype"
188.76,12.49,"Allelic tag 22A3 wildtype"
190.38,3.6,"Allelic tag 22A3 wildtype"
192.08,22.41,"Allelic tag 22A3 wildtype"
193.74,9.72,"Allelic tag 22A3 wildtype"
195.31,13.12,"Allelic tag 22A3 wildtype"
197.04,9.09,"Allelic tag 22A3 wildtype"
198.78,6.35,"Allelic tag 22A3 wildtype"
200.55,6.84,"Allelic tag 22A3 wildtype"
202.19,14.32,"Allelic tag 22A3 wildtype"
203.95,13.51,"Allelic tag 22A3 wildtype"
205.67,7.78,"Allelic tag 22A3 wildtype"
207.47,4.49,"Allelic tag 22A3 wildtype"
209.19,14.57,"Allelic tag 22A3 wildtype"
211.1,12.47,"Allelic tag 22A3 wildtype"
212.85,19.74,"Allelic tag 22A3 wildtype"
214.66,9.89,"Allelic tag 22A3 wildtype"
216.58,7.78,"Allelic tag 22A3 wildtype"
218.39,7.62,"Allelic tag 22A3 wildtype"
220.36,4.08,"Allelic tag 22A3 wildtype"
222.24,9.04,"Allelic tag 22A3 wildtype"
224.24,21.76,"Allelic tag 22A3 wildtype"
226.02,10.44,"Allelic tag 22A3 wildtype"
227.97,30.33,"Allelic tag 22A3 wildtype"
229.93,17.63,"Allelic tag 22A3 wildtype"
231.96,14.48,"Allelic tag 22A3 wildtype"
233.96,6.88,"Allelic tag 22A3 wildtype"
235.96,20.6,"Allelic tag 22A3 wildtype"
238.01,21.11,"Allelic tag 22A3 wildtype"
240.04,13.11,"Allelic tag 22A3 wildtype"
