"x_coordinate","y_coordinate","Disc_ID","Bin_avg_protein_molecules","Bin_Fano_factor","genotype"
210.36,1996.26,27,68.81,55.19,"57F5/57F5 mutant"
973.46,1867.07,27,73.57,16.29,"57F5/57F5 mutant"
328.1,754.93,27,75.38,62.92,"57F5/57F5 mutant"
366.64,559.32,27,78.77,61.9,"57F5/57F5 mutant"
269.47,364,27,78.77,61.9,"57F5/57F5 mutant"
281.29,491.23,27,80.51,50.06,"57F5/57F5 mutant"
690.4,1594.17,27,82.38,50.75,"57F5/57F5 mutant"
655,1551.52,27,84.04,58.54,"57F5/57F5 mutant"
383.35,1400.11,27,85.91,55.98,"57F5/57F5 mutant"
695.41,997.67,27,85.91,55.98,"57F5/57F5 mutant"
1658.47,1611.2,27,85.91,55.98,"57F5/57F5 mutant"
226.5,1192.76,27,85.91,55.98,"57F5/57F5 mutant"
770.06,1107.41,27,87.98,27.06,"57F5/57F5 mutant"
1457.54,926.17,27,87.98,27.06,"57F5/57F5 mutant"
381.64,836.26,27,87.98,27.06,"57F5/57F5 mutant"
92.73,1042.22,27,92.02,43.48,"57F5/57F5 mutant"
708.95,358.45,27,92.02,43.48,"57F5/57F5 mutant"
219.14,1170.68,27,92.02,43.48,"57F5/57F5 mutant"
1388.83,862.52,27,92.02,43.48,"57F5/57F5 mutant"
756.94,958.71,27,92.02,43.48,"57F5/57F5 mutant"
1673.2,1169.28,27,92.02,43.48,"57F5/57F5 mutant"
302.25,605.38,27,94.03,15.87,"57F5/57F5 mutant"
335.66,433.32,27,94.03,15.87,"57F5/57F5 mutant"
928.65,1085.45,27,94.03,15.87,"57F5/57F5 mutant"
621.37,913.7,27,96.15,43.49,"57F5/57F5 mutant"
1091.9,1205.17,27,96.15,43.49,"57F5/57F5 mutant"
1434.36,1467.47,27,96.15,43.49,"57F5/57F5 mutant"
407.11,1341.19,27,96.15,43.49,"57F5/57F5 mutant"
969.94,1175.47,27,98.38,24.57,"57F5/57F5 mutant"
994.23,1167.71,27,98.38,24.57,"57F5/57F5 mutant"
1604.72,1223.51,27,98.38,24.57,"57F5/57F5 mutant"
614.05,221.21,27,98.38,24.57,"57F5/57F5 mutant"
610.42,875.55,27,98.38,24.57,"57F5/57F5 mutant"
992.38,1762.24,27,98.38,24.57,"57F5/57F5 mutant"
416.14,645.72,27,100.61,60.91,"57F5/57F5 mutant"
33.07,14.49,27,100.61,60.91,"57F5/57F5 mutant"
613.1,967.22,27,102.85,55.43,"57F5/57F5 mutant"
281.63,1294.62,27,105.21,99.28,"57F5/57F5 mutant"
548.72,1522.3,27,105.21,99.28,"57F5/57F5 mutant"
1334.91,1348.96,38,105.21,99.28,"57F5/57F5 mutant"
1133.7,1283.89,38,105.21,99.28,"57F5/57F5 mutant"
905.03,1085.14,38,105.21,99.28,"57F5/57F5 mutant"
388.55,645.13,27,107.7,58.58,"57F5/57F5 mutant"
259.26,203.87,27,107.7,58.58,"57F5/57F5 mutant"
449.52,1379.91,27,107.7,58.58,"57F5/57F5 mutant"
493.81,677.92,27,107.7,58.58,"57F5/57F5 mutant"
717.81,887.41,27,107.7,58.58,"57F5/57F5 mutant"
1027.89,676.91,27,107.7,58.58,"57F5/57F5 mutant"
1120.46,535.41,38,107.7,58.58,"57F5/57F5 mutant"
1607.6,1978.64,27,110.01,63.42,"57F5/57F5 mutant"
254.39,1171.06,27,110.01,63.42,"57F5/57F5 mutant"
525.92,1469.37,27,112.22,57.04,"57F5/57F5 mutant"
938.85,1095.86,27,112.22,57.04,"57F5/57F5 mutant"
547.35,1495.7,27,112.22,57.04,"57F5/57F5 mutant"
929.49,1088.8,27,112.22,57.04,"57F5/57F5 mutant"
263.88,370.57,27,112.22,57.04,"57F5/57F5 mutant"
497.38,1380.07,27,112.22,57.04,"57F5/57F5 mutant"
553.92,1480.54,27,112.22,57.04,"57F5/57F5 mutant"
1089.26,1200.44,27,112.22,57.04,"57F5/57F5 mutant"
1499.75,917.11,27,112.22,57.04,"57F5/57F5 mutant"
1564.1,1139.39,27,112.22,57.04,"57F5/57F5 mutant"
608.2,181.78,27,114.96,69.31,"57F5/57F5 mutant"
687.38,323.1,27,114.96,69.31,"57F5/57F5 mutant"
146.89,1035.49,27,114.96,69.31,"57F5/57F5 mutant"
510.14,936.53,27,114.96,69.31,"57F5/57F5 mutant"
602.68,1584.07,27,114.96,69.31,"57F5/57F5 mutant"
993.76,1780.11,27,114.96,69.31,"57F5/57F5 mutant"
1313.46,548.34,38,114.96,69.31,"57F5/57F5 mutant"
1076.7,1234.11,38,114.96,69.31,"57F5/57F5 mutant"
1257.66,1295.02,38,114.96,69.31,"57F5/57F5 mutant"
460.03,1486.42,27,117.65,78.91,"57F5/57F5 mutant"
640.01,331.07,27,117.65,78.91,"57F5/57F5 mutant"
988.03,1793.19,27,117.65,78.91,"57F5/57F5 mutant"
716.36,895.57,27,117.65,78.91,"57F5/57F5 mutant"
1176.42,876.24,27,117.65,78.91,"57F5/57F5 mutant"
683.39,1629.59,27,117.65,78.91,"57F5/57F5 mutant"
375.16,1838.39,38,117.65,78.91,"57F5/57F5 mutant"
1189.05,1237.83,38,117.65,78.91,"57F5/57F5 mutant"
1467.87,659.65,38,117.65,78.91,"57F5/57F5 mutant"
983.68,1675.07,38,117.65,78.91,"57F5/57F5 mutant"
297.18,1034.47,38,117.65,78.91,"57F5/57F5 mutant"
404.8,842.8,27,120.4,62.95,"57F5/57F5 mutant"
505.05,1415.75,27,120.4,62.95,"57F5/57F5 mutant"
749.83,954.44,27,120.4,62.95,"57F5/57F5 mutant"
1046.49,1222.85,27,120.4,62.95,"57F5/57F5 mutant"
646.77,186.89,27,120.4,62.95,"57F5/57F5 mutant"
788.59,1723.22,27,120.4,62.95,"57F5/57F5 mutant"
1539.83,1047.95,27,120.4,62.95,"57F5/57F5 mutant"
729.14,1024.35,38,120.4,62.95,"57F5/57F5 mutant"
1396.97,871.49,27,123.01,84.8,"57F5/57F5 mutant"
862.31,580.96,27,123.01,84.8,"57F5/57F5 mutant"
1012.91,666.99,27,123.01,84.8,"57F5/57F5 mutant"
18.59,911.78,27,123.01,84.8,"57F5/57F5 mutant"
1387.52,860.4,27,123.01,84.8,"57F5/57F5 mutant"
485.74,519.77,38,123.01,84.8,"57F5/57F5 mutant"
691.92,919.59,38,123.01,84.8,"57F5/57F5 mutant"
788.3,1071.49,38,123.01,84.8,"57F5/57F5 mutant"
1537.37,789.74,38,123.01,84.8,"57F5/57F5 mutant"
891.54,1775.87,27,125.64,67.36,"57F5/57F5 mutant"
99.1,1017.57,27,125.64,67.36,"57F5/57F5 mutant"
733.07,1710.39,38,125.64,67.36,"57F5/57F5 mutant"
435.42,226.93,38,125.64,67.36,"57F5/57F5 mutant"
416.93,170.07,38,125.64,67.36,"57F5/57F5 mutant"
894.65,1087.51,38,125.64,67.36,"57F5/57F5 mutant"
1186.06,1245.49,38,125.64,67.36,"57F5/57F5 mutant"
249.4,576.34,27,128.54,70.91,"57F5/57F5 mutant"
351.46,548.38,27,128.54,70.91,"57F5/57F5 mutant"
655.84,1075.01,27,128.54,70.91,"57F5/57F5 mutant"
1051.99,1223.38,27,128.54,70.91,"57F5/57F5 mutant"
1117.75,1302.75,27,128.54,70.91,"57F5/57F5 mutant"
692.7,1692.79,27,128.54,70.91,"57F5/57F5 mutant"
1014.08,1133.2,27,128.54,70.91,"57F5/57F5 mutant"
1225.84,1263.49,27,128.54,70.91,"57F5/57F5 mutant"
98.67,1041.21,27,128.54,70.91,"57F5/57F5 mutant"
1142.8,1146.52,38,128.54,70.91,"57F5/57F5 mutant"
1980.5,1417.97,38,128.54,70.91,"57F5/57F5 mutant"
1950.47,1664.63,38,128.54,70.91,"57F5/57F5 mutant"
434.96,229.25,38,128.54,70.91,"57F5/57F5 mutant"
600.53,728.9,38,128.54,70.91,"57F5/57F5 mutant"
868.22,1528.76,38,128.54,70.91,"57F5/57F5 mutant"
1164.8,1132.89,38,128.54,70.91,"57F5/57F5 mutant"
1182.34,1242.16,38,128.54,70.91,"57F5/57F5 mutant"
197.01,928.2,38,128.54,70.91,"57F5/57F5 mutant"
352.64,496,38,128.54,70.91,"57F5/57F5 mutant"
182.96,1165.65,27,131.32,53.71,"57F5/57F5 mutant"
689.86,896.28,27,131.32,53.71,"57F5/57F5 mutant"
707.91,1558.78,27,131.32,53.71,"57F5/57F5 mutant"
1422.72,595.71,38,131.32,53.71,"57F5/57F5 mutant"
767.95,1486.68,38,131.32,53.71,"57F5/57F5 mutant"
1608.21,1976.46,27,134.22,67.48,"57F5/57F5 mutant"
17.11,914.34,27,134.22,67.48,"57F5/57F5 mutant"
412.17,1354.58,27,134.22,67.48,"57F5/57F5 mutant"
1763.35,1441.95,38,134.22,67.48,"57F5/57F5 mutant"
1544.97,650.96,38,134.22,67.48,"57F5/57F5 mutant"
1052.12,1679.2,38,134.22,67.48,"57F5/57F5 mutant"
1403.17,1862.76,27,137.34,44.11,"57F5/57F5 mutant"
609.68,224.47,27,137.34,44.11,"57F5/57F5 mutant"
1094.62,1200.86,27,137.34,44.11,"57F5/57F5 mutant"
499.66,636.31,38,137.34,44.11,"57F5/57F5 mutant"
1590.05,944.63,38,137.34,44.11,"57F5/57F5 mutant"
